DATE,CUUR0000SA0R
1956-02-01,372.600
1956-03-01,372.300
1956-04-01,371.700
1956-05-01,369.900
1956-06-01,367.800
1956-07-01,365.100
1956-08-01,365.400
1956-09-01,365.100
1956-10-01,362.700
1956-11-01,362.700
1956-12-01,361.800
1957-01-01,361.500
1957-02-01,360.000
1957-03-01,359.100
1957-04-01,357.900
1957-05-01,357.000
1957-06-01,354.900
1957-07-01,353.400
1957-08-01,352.800
1957-09-01,352.500
1957-10-01,352.500
1957-11-01,351.400
1957-12-01,351.400
1958-01-01,349.300
1958-02-01,349.000
1958-03-01,346.300
1958-04-01,345.700
1958-05-01,345.700
1958-06-01,345.100
1958-07-01,344.800
1958-08-01,345.100
1958-09-01,345.100
1958-10-01,345.100
1958-11-01,344.800
1958-12-01,345.100
1959-01-01,344.800
1959-02-01,345.100
1959-03-01,345.100
1959-04-01,344.800
1959-05-01,344.500
1959-06-01,342.700
1959-07-01,342.100
1959-08-01,342.400
1959-09-01,341.200
1959-10-01,340.000
1959-11-01,340.000
1959-12-01,340.000
1960-01-01,340.600
1960-02-01,340.000
1960-03-01,340.000
1960-04-01,338.200
1960-05-01,338.200
1960-06-01,337.300
1960-07-01,337.300
1960-08-01,337.300
1960-09-01,337.000
1960-10-01,335.500
1960-11-01,335.200
1960-12-01,335.200
1961-01-01,335.200
1961-02-01,335.200
1961-03-01,335.200
1961-04-01,335.200
1961-05-01,335.200
1961-06-01,334.900
1961-07-01,333.400
1961-08-01,333.700
1961-09-01,332.800
1961-10-01,332.800
1961-11-01,332.800
1961-12-01,332.800
1962-01-01,332.800
1962-02-01,332.200
1962-03-01,331.300
1962-04-01,330.700
1962-05-01,330.700
1962-06-01,330.700
1962-07-01,330.100
1962-08-01,330.100
1962-09-01,328.000
1962-10-01,328.600
1962-11-01,328.600
1962-12-01,328.900
1963-01-01,328.600
1963-02-01,328.000
1963-03-01,327.700
1963-04-01,327.700
1963-05-01,327.700
1963-06-01,326.500
1963-07-01,325.000
1963-08-01,325.000
1963-09-01,325.000
1963-10-01,324.700
1963-11-01,324.100
1963-12-01,323.500
1964-01-01,323.200
1964-02-01,323.500
1964-03-01,323.200
1964-04-01,322.900
1964-05-01,322.900
1964-06-01,322.000
1964-07-01,321.400
1964-08-01,321.700
1964-09-01,321.100
1964-10-01,320.800
1964-11-01,320.200
1964-12-01,319.600
1965-01-01,319.600
1965-02-01,319.600
1965-03-01,319.300
1965-04-01,318.400
1965-05-01,317.800
1965-06-01,316.000
1965-07-01,315.700
1965-08-01,316.300
1965-09-01,315.700
1965-10-01,315.400
1965-11-01,314.800
1965-12-01,313.600
1966-01-01,313.600
1966-02-01,311.800
1966-03-01,310.600
1966-04-01,309.500
1966-05-01,309.200
1966-06-01,308.300
1966-07-01,307.400
1966-08-01,305.600
1966-09-01,305.000
1966-10-01,303.800
1966-11-01,303.800
1966-12-01,303.500
1967-01-01,303.500
1967-02-01,303.200
1967-03-01,302.600
1967-04-01,302.000
1967-05-01,301.100
1967-06-01,300.200
1967-07-01,298.700
1967-08-01,297.800
1967-09-01,297.200
1967-10-01,296.300
1967-11-01,295.400
1967-12-01,294.500
1968-01-01,293.300
1968-02-01,292.700
1968-03-01,291.200
1968-04-01,290.300
1968-05-01,289.400
1968-06-01,287.900
1968-07-01,286.400
1968-08-01,285.500
1968-09-01,284.600
1968-10-01,283.100
1968-11-01,282.200
1968-12-01,281.300
1969-01-01,280.400
1969-02-01,279.500
1969-03-01,277.100
1969-04-01,275.300
1969-05-01,274.400
1969-06-01,272.900
1969-07-01,271.400
1969-08-01,270.200
1969-09-01,269.000
1969-10-01,268.200
1969-11-01,266.700
1969-12-01,265.200
1970-01-01,264.300
1970-02-01,262.800
1970-03-01,261.300
1970-04-01,259.800
1970-05-01,258.600
1970-06-01,257.400
1970-07-01,256.500
1970-08-01,255.900
1970-09-01,254.700
1970-10-01,253.500
1970-11-01,252.600
1970-12-01,251.400
1971-01-01,251.100
1971-02-01,250.800
1971-03-01,249.900
1971-04-01,249.000
1971-05-01,247.800
1971-06-01,246.300
1971-07-01,245.700
1971-08-01,245.100
1971-09-01,244.800
1971-10-01,244.500
1971-11-01,244.200
1971-12-01,243.000
1972-01-01,243.000
1972-02-01,241.800
1972-03-01,241.200
1972-04-01,240.900
1972-05-01,240.000
1972-06-01,239.400
1972-07-01,238.500
1972-08-01,238.200
1972-09-01,237.000
1972-10-01,236.400
1972-11-01,235.800
1972-12-01,235.200
1973-01-01,234.300
1973-02-01,232.800
1973-03-01,230.400
1973-04-01,228.900
1973-05-01,227.500
1973-06-01,226.000
1973-07-01,225.700
1973-08-01,221.500
1973-09-01,220.900
1973-10-01,219.100
1973-11-01,217.600
1973-12-01,216.100
1974-01-01,214.300
1974-02-01,211.600
1974-03-01,209.200
1974-04-01,208.000
1974-05-01,205.600
1974-06-01,203.800
1974-07-01,202.300
1974-08-01,199.600
1974-09-01,197.200
1974-10-01,195.700
1974-11-01,193.900
1974-12-01,192.700
1975-01-01,191.800
1975-02-01,190.300
1975-03-01,189.700
1975-04-01,188.800
1975-05-01,187.900
1975-06-01,186.400
1975-07-01,184.400
1975-08-01,183.800
1975-09-01,182.900
1975-10-01,182.000
1975-11-01,180.800
1975-12-01,179.900
1976-01-01,179.600
1976-02-01,179.000
1976-03-01,178.700
1976-04-01,178.100
1976-05-01,176.900
1976-06-01,176.000
1976-07-01,174.800
1976-08-01,174.200
1976-09-01,173.300
1976-10-01,172.700
1976-11-01,172.100
1976-12-01,171.800
1977-01-01,170.600
1977-02-01,169.100
1977-03-01,167.900
1977-04-01,166.700
1977-05-01,165.800
1977-06-01,164.600
1977-07-01,164.000
1977-08-01,163.400
1977-09-01,162.500
1977-10-01,162.200
1977-11-01,161.300
1977-12-01,160.700
1978-01-01,159.800
1978-02-01,158.900
1978-03-01,157.700
1978-04-01,156.200
1978-05-01,154.700
1978-06-01,153.200
1978-07-01,152.000
1978-08-01,151.400
1978-09-01,150.200
1978-10-01,149.000
1978-11-01,148.100
1978-12-01,147.500
1979-01-01,146.300
1979-02-01,144.600
1979-03-01,143.100
1979-04-01,141.600
1979-05-01,139.800
1979-06-01,138.300
1979-07-01,136.800
1979-08-01,135.300
1979-09-01,134.100
1979-10-01,132.900
1979-11-01,131.700
1979-12-01,130.200
1980-01-01,128.400
1980-02-01,126.600
1980-03-01,124.800
1980-04-01,123.300
1980-05-01,122.100
1980-06-01,120.900
1980-07-01,120.900
1980-08-01,120.000
1980-09-01,118.800
1980-10-01,117.900
1980-11-01,116.700
1980-12-01,115.800
1981-01-01,114.900
1981-02-01,113.700
1981-03-01,112.800
1981-04-01,112.200
1981-05-01,111.300
1981-06-01,110.400
1981-07-01,108.900
1981-08-01,108.300
1981-09-01,107.100
1981-10-01,106.800
1981-11-01,106.500
1981-12-01,106.200
1982-01-01,105.900
1982-02-01,105.600
1982-03-01,105.600
1982-04-01,105.300
1982-05-01,104.100
1982-06-01,103.000
1982-07-01,102.400
1982-08-01,102.400
1982-09-01,102.100
1982-10-01,101.800
1982-11-01,102.100
